Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,430257564,5519.986351769944,11436980,146.73065342197174,1693437,5922049,75.97688545113607,62717,0.8046273046438671,10811,
United States of America,Americas,78050838,23580.125,529249,159.893,76613,935093,282.503,13109,3.96,3481
India,South-East Asia,42894345,3108.276,114110,8.269,13166,513226,37.19,2321,0.168,302
Brazil,Americas,28484890,13400.907,678104,319.019,133563,646419,304.112,5645,2.656,999
France,Europe,21879794,33640.851,443290,681.572,66714,134723,207.141,1554,2.389,281
The United Kingdom,Europe,18773168,27653.959,274106,403.774,38481,161104,237.315,883,1.301,125
Russian Federation,Europe,16052028,10999.477,1031455,706.793,123460,349365,239.399,5408,3.706,787
Germany,Europe,14399012,17313.432,1143023,1374.376,210743,122371,147.139,1379,1.658,226
Turkey,Europe,13840998,16411.135,575624,682.512,79708,93539,110.908,1893,2.245,281
Italy,Europe,12651251,21212.165,327853,549.706,47493,154013,258.231,1731,2.902,249
Spain,Europe,10949997,23134.148,148164,313.027,26892,99162,209.5,1167,2.466,226
Argentina,Americas,8878486,19644.505,78628,173.972,10298,125872,278.504,948,2.098,97
Iran (Islamic Republic of),Eastern Mediterranean,7011932,8348.239,117822,140.276,12957,135952,161.861,1532,1.824,226
Netherlands,Europe,6234953,35817.45,272222,1563.813,41216,21531,123.687,83,0.477,13
Colombia,Americas,6054307,11898.512,23177,45.55,2181,138364,271.926,778,1.529,79
Poland,Europe,5637646,14852.272,118364,311.828,16700,111056,292.575,1547,4.076,198
Indonesia,South-East Asia,5457775,1995.358,368138,134.591,49447,147586,53.957,1542,0.564,244
Mexico,Americas,5455237,4231.072,51819,40.191,18671,316941,245.819,1513,1.173,449
Ukraine,Europe,4821288,11024.179,149090,340.904,11664,105664,241.607,1558,3.562,159
Japan,Western Pacific,4750496,3756.032,508696,402.206,65657,22755,17.991,1557,1.231,226
South Africa,Africa,3667560,6183.849,15536,26.195,2411,99018,166.954,1063,1.792,40
Philippines,Western Pacific,3657342,3337.567,10549,9.627,1745,56165,51.254,835,0.762,188
Israel,Europe,3603367,41630.754,86676,1001.393,9120,10108,116.781,155,1.791,5
Czechia,Europe,3559560,33285.771,75148,702.716,10025,38491,359.933,314,2.936,23
Belgium,Europe,3537675,30702.481,39188,340.102,9,30101,261.238,173,1.501,4
Peru,Americas,3503892,10626.918,37583,113.985,3012,209927,636.685,1138,3.451,119
Malaysia,Western Pacific,3337227,10310.904,199012,614.88,32070,32534,100.519,294,0.908,46
Canada,Americas,3261911,8642.62,44727,118.507,6853,36254,96.057,467,1.237,93
Portugal,Europe,3231075,31382.125,82688,803.115,11636,20941,203.391,233,2.263,19
Viet Nam,Western Pacific,3041506,3124.667,398482,409.377,69128,39884,40.975,606,0.623,165
Chile,Americas,2953895,15452.312,206343,1079.414,32764,41795,218.637,859,4.494,224
Thailand,South-East Asia,2819282,4039.087,144805,207.457,24932,22809,32.678,244,0.35,41
Australia,Western Pacific,2772182,10871.351,141461,554.752,25802,5086,19.945,288,1.129,60
Switzerland,Europe,2735899,31612.013,79322,916.528,10,12616,145.772,42,0.485,0
Romania,Europe,2708315,14011.784,79225,409.88,10749,63073,326.316,885,4.579,115
Denmark,Europe,2691663,46226.559,208264,3576.721,25209,4461,76.613,254,4.362,39
Republic of Korea,Western Pacific,2665077,5198.204,909279,1773.539,165890,7783,15.181,500,0.975,94
Austria,Europe,2596719,29173.13,189312,2126.847,29495,14122,158.655,166,1.865,26
Sweden,Europe,2437850,23605.219,19236,186.258,2820,17083,165.411,79,0.765,1
Greece,Europe,2369396,22105.534,113975,1063.342,15819,25603,238.866,508,4.739,65
Iraq,Eastern Mediterranean,2298164,5713.629,11713,29.121,1499,24931,61.983,107,0.266,14
Bangladesh,South-East Asia,1939651,1177.763,10497,6.374,0,29005,17.612,74,0.045,0
Serbia,Europe,1900293,27434.3,32457,468.578,3718,15059,217.405,393,5.674,49
Hungary,Europe,1779174,18211.467,32750,335.226,4498,43752,447.842,686,7.022,88
Jordan,Eastern Mediterranean,1606837,15748.465,65458,641.548,7415,13767,134.929,159,1.558,16
Georgia,Europe,1591936,39906.397,65731,1647.734,7482,16054,402.439,283,7.094,32
Pakistan,Eastern Mediterranean,1505328,681.476,11035,4.996,1455,30114,13.633,197,0.089,18
Slovakia,Europe,1421546,26045.787,97043,1778.037,12829,18375,336.67,174,3.188,37
